# organ	points_file	num_points	alpha_auto	alpha_low	alpha_high
blood	blood_points_max.xyz	26035	2.5000	2.0000	3.0000
brain	brain_points_max.xyz	5374	2.5000	2.0000	3.0000
duodenum	duodenum_points_max.xyz	12182	2.5000	2.0000	3.0000
eye	eye_points_max.xyz	9024	2.5000	2.0000	3.0000
eyeRetna	eyeRetna_points_max.xyz	13317	2.5000	2.0000	3.0000
eyeWhite	eyeWhite_points_max.xyz	5165	2.5000	2.0000	3.0000
heart	heart_points_max.xyz	8648	2.5000	2.0000	3.0000
ileum	ileum_points_max.xyz	9874	2.5000	2.0000	3.0000
kidney	kidney_points_max.xyz	12199	2.5000	2.0000	3.0000
lIntestine	lIntestine_points_max.xyz	9634	2.5000	2.0000	3.0000
liver	liver_points_max.xyz	42951	2.5000	2.0000	3.0000
lung	lung_points_max.xyz	13210	2.5000	2.0000	3.0000
muscle	muscle_points_max.xyz	96028	5.0000	4.0000	6.0000
nerve	nerve_points_max.xyz	16649	2.5000	2.0000	3.0000
skeleton	skeleton_points_max.xyz	198340	2.5000	2.0000	3.0000
spleen	spleen_points_max.xyz	1385	2.5000	2.0000	3.0000
stomach	stomach_points_max.xyz	67602	2.5000	2.0000	3.0000
